modelid,catchid,calib_01,calib_02,calib_03,calib_04,calib_05,calib_06,calib_07,calib_08,calib_09,calib_10,calib_11,calib_12,calib_13,calib_14,calib_15,calib_16,calib_17,calib_18,calib_19,calib_20,valid_01,valid_02,valid_03,valid_04,valid_05,valid_06,valid_07,valid_08,valid_09,valid_10,valid_11,valid_12,valid_13,valid_14,valid_15,valid_16,valid_17,valid_18,valid_19,valid_20,median_cc,max_cc,min_cc,sd_cc,median_vv,max_vv,min_vv,sd_vv,corr_mx_vv
11,1,0.564193591579609,0.569166806848763,0.563826527987148,0.564569222154483,0.568559806112929,0.568779127143154,0.567631050431114,0.573498087536105,0.573643761763898,0.563200704077343,0.572594176118787,0.563054605694315,0.567949177278895,0.565201855971021,0.562370531389074,0.568409649521889,0.552877745319403,0.572602695442646,0.573404775241152,0.56960578988966,0.399623516309227,0.460570263450496,0.390458595997134,0.391876075522509,0.464166456395031,0.467592849138397,0.432771532363533,0.465331853551806,0.466094374829375,0.391710730027138,0.463818858239611,0.396615742908675,0.4620211731244,0.406488702827953,0.385800624320373,0.46490080736074,0.397161985377997,0.461272560961803,0.471049054279108,0.471833575899419,0.568179413400392,0.573643761763898,0.552877745319403,0.00506317715326097,0.46092141220615,0.471833575899419,0.385800624320373,0.0350647996708181,0.466094374829375
12,1,0.584258550294463,0.585090622903671,0.582604513656084,0.587410498519049,0.583358114616582,0.582433777834708,0.580330715767699,0.586214712920005,0.580474983582474,0.584697560405852,0.585152750383092,0.58142377384433,0.583038586312902,0.585796355648019,0.58409979862777,0.582907268346224,0.582677520563583,0.581332316345842,0.585270359947872,0.583892709344066,0.477802331505499,0.479122317476012,0.471765630674681,0.477295896981964,0.473526111282497,0.489407749730752,0.478987028551927,0.486538590595393,0.467635850749195,0.485866332900132,0.481990924027614,0.493019367475333,0.489543711157173,0.483507033288784,0.484716538440719,0.463648377670832,0.494489647981228,0.491652322149255,0.481198415225469,0.485154742970201,0.583625411980324,0.587410498519049,0.580330715767699,0.0019188067451588,0.482748978658199,0.494489647981228,0.463648377670832,0.00831750949624289,0.477295896981964
13,1,0.71565977020471,0.717557654839348,0.63336801508464,0.716386867769423,0.75486242886347,0.643759223489947,0.716837567553233,0.688292211964338,0.718221931371425,0.647175062094517,0.645247669454972,0.625955932282112,0.705266513008855,0.713643223242166,0.715979303757811,0.627201815050022,0.713328614355819,0.71283582843014,0.690760971479525,0.646891253536308,0.478262359290733,0.483312633826228,0.509356942304647,0.48095252064333,0.62589548319366,0.494261000928234,0.476052087475619,0.48039157816744,0.485146764854993,0.488995826446185,0.485623663552838,0.509651282165839,0.47191597467833,0.482372787428984,0.483679334902486,0.510927057507368,0.481531866997973,0.474158507377669,0.492444660491371,0.488201219105579,0.709051170719498,0.75486242886347,0.625955932282112,0.0392904539145773,0.484413049878739,0.62589548319366,0.47191597467833,0.0329999575899619,0.62589548319366
14,1,0.628946942082024,0.625517844359992,0.625556593521907,0.624924851273766,0.589728792094852,0.624291646000407,0.628863674800716,0.624872554537416,0.626494923625808,0.590318932838095,0.589654289330952,0.627188304346723,0.624669114563711,0.5885167558676,0.631590614769292,0.625133121729573,0.62526276150891,0.626182728707483,0.633691767806015,0.590205057116515,0.516881010765042,0.528112472147763,0.524318048621316,0.530335352977352,0.484282584809023,0.521883683781925,0.499432736935171,0.523448387020956,0.519134274716509,0.485432840946272,0.480186948064073,0.52248110400904,0.532448566382242,0.496160719143782,0.524341961923084,0.5172275822155,0.518388055491205,0.5195317173537,0.518662916787741,0.484548318817613,0.625197941619241,0.633691767806015,0.5885167558676,0.0166955993966019,0.518898595752125,0.532448566382242,0.480186948064073,0.0170857225186498,0.518662916787741
15,1,0.634804639361594,0.637859479492936,0.594061806739336,0.644700054233552,0.636745667346458,0.642320087298483,0.59327781072219,0.632992748898722,0.630722797176977,0.592801460427854,0.633869262110431,0.628683490208213,0.627988472793125,0.631394669786889,0.593742492430925,0.629404829479998,0.597594803804297,0.642148053927728,0.630478952234986,0.624323636232058,0.51060532879592,0.532982828860045,0.498053739539789,0.541317552607237,0.508452426831517,0.516635264123826,0.494647962927354,0.517273181201097,0.537419037267578,0.496320769748891,0.499854482357463,0.50752084834844,0.531432936363127,0.51831340099351,0.493577659341223,0.534690980096432,0.517998375561753,0.527344119490445,0.523359231295419,0.498545101932359,0.630600874705981,0.644700054233552,0.592801460427854,0.0183220903305231,0.516954222662461,0.541317552607237,0.493577659341223,0.0154782014970607,0.541317552607237
16,1,0.715258890542144,0.634405729010481,0.625489894002214,0.72095260722052,0.718585589415494,0.714320584266128,0.590575983379488,0.7187514554508,0.712993333251534,0.753606774833104,0.743158341951508,0.715061643990782,0.715291910540991,0.647966987860536,0.71396568806213,0.748666783403889,0.75130919228492,0.694074602502855,0.6232647135048,0.643810415293328,0.484187486857949,0.516347049256852,0.525113321317015,0.518430441319847,0.499894043155312,0.48324797958419,0.478299272202078,0.483476821497401,0.477092263210258,0.591332015895925,0.58083412281762,0.477882961658245,0.478566320821988,0.480865519323097,0.477300282408891,0.591516603518529,0.609779449416314,0.467986416166145,0.500216965448088,0.500133565511903,0.714691114128455,0.753606774833104,0.590575983379488,0.0488106122448596,0.492040765006631,0.609779449416314,0.467986416166145,0.0451424658273787,0.591332015895925
17,1,0.624401964819941,0.59099574559242,0.625341930002944,0.638246973931045,0.639009158451377,0.588343309876074,0.633664988649081,0.590204785987908,0.618964711429502,0.633869918276311,0.625560400967615,0.632819067166861,0.58982695030054,0.589109042095892,0.626558775060613,0.634057995307951,0.591100577127785,0.633149050415137,0.626543234123109,0.633925638082801,0.507015032394886,0.484995162725995,0.520030692826175,0.517476942157493,0.516381074829183,0.487178707941238,0.517915025220244,0.482912801936538,0.485530978945768,0.514756412387996,0.517829105875113,0.517422977258826,0.486517198290841,0.50349670398782,0.519539466445026,0.503297732567419,0.490611660493088,0.508084980742131,0.521895161448654,0.518474020859915,0.626051817545362,0.639009158451377,0.588343309876074,0.0196550010781736,0.511420696565064,0.521895161448654,0.482912801936538,0.0143263729264422,0.516381074829183
18,1,0.595094719295119,0.593813442459472,0.633050356269604,0.640017609479554,0.647737154508203,0.649209194494256,0.628009865609165,0.64715141858415,0.640134636942671,0.63320812277464,0.648407028227583,0.629735625155241,0.594072020877818,0.599078788194253,0.603253626779998,0.635610059138483,0.594626933663629,0.644530868060789,0.627965778532415,0.591063299929408,0.506444151445144,0.495491626007796,0.551045424638679,0.534618307337869,0.526896734078022,0.523128628137411,0.519384885126975,0.534296114934936,0.53107021442789,0.519459980280093,0.511434769196797,0.536448868455943,0.500863866538152,0.531468233035988,0.520449359539868,0.523124999739519,0.495729162856274,0.540765276605883,0.527567715200349,0.486756896379754,0.631392990712422,0.649209194494256,0.591063299929408,0.0220953256528872,0.523126813938465,0.551045424638679,0.486756896379754,0.0168079190884696,0.523128628137411
19,1,0.746422920802723,0.752256178142966,0.752866820759732,0.754600713476875,0.718901774613888,0.719663658620983,0.751830156748701,0.752022973121173,0.759629949848839,0.759869656888129,0.745181750389063,0.747963459156699,0.75222505659094,0.754809537288454,0.757301663392928,0.744002040089188,0.747467656731856,0.755646994957791,0.757193483705448,0.753223832786058,0.577675800296184,0.578846948014516,0.588756517815585,0.604811341506062,0.479559097118813,0.51610465655505,0.605396816111819,0.587944475329041,0.62135790761486,0.617145458633485,0.566848205532032,0.582473903492932,0.614471387124297,0.604626514219606,0.621311339401356,0.574718689187267,0.590808623817655,0.61646876543006,0.604402440694306,0.609939939800099,0.752240617366953,0.759869656888129,0.718901774613888,0.0111523289578987,0.597605532255981,0.62135790761486,0.479559097118813,0.0355231783877486,0.617145458633485
20,1,0.568894846393508,0.56437035071353,0.574844755848052,0.56712740007404,0.564206911518192,0.563448907575398,0.569359719885756,0.57452431015186,0.564873654669672,0.569367357756006,0.563227834104229,0.562576703979671,0.56994655046007,0.575313828897301,0.563475524569981,0.565242263788905,0.567954236078516,0.567423703577727,0.568087172688641,0.562913996225421,0.454300339408946,0.377782699293258,0.456789145643087,0.403474689687044,0.391179082378843,0.390269261815141,0.455775087182713,0.46409557902482,0.395496828692017,0.4453902215337,0.374152314805948,0.377427268582893,0.449138625578054,0.470324994391258,0.388162229656205,0.381256105796279,0.445360692248448,0.400952218854378,0.442967630250028,0.383515694085935,0.567275551825883,0.575313828897301,0.562576703979671,0.00402806504122079,0.402213454270711,0.470324994391258,0.374152314805948,0.0350251842324764,0.470324994391258
